s.no,batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_run_x,crr,rrr,results
6866,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,150,89,8,193,8.32,10.11,0
6867,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,150,88,8,193,8.06,10.23,0
6868,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,148,87,8,193,8.18,10.21,0
6869,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,147,86,8,193,8.12,10.26,0
6870,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,141,85,8,193,8.91,9.95,0
6871,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,139,84,8,193,9,9.93,0
6872,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,138,83,8,193,8.92,9.98,0
6873,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,137,82,8,193,8.84,10.02,0
6874,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,133,81,8,193,9.23,9.85,0
6875,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,132,80,8,193,9.15,9.9,0
6876,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,130,79,8,193,9.22,9.87,0
6877,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,129,78,8,193,9.14,9.92,0
6878,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,125,77,8,193,9.49,9.74,0
6879,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,124,76,8,193,9.41,9.79,0
6880,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,123,75,8,193,9.33,9.84,0
6881,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,122,74,8,193,9.26,9.89,0
6882,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,122,73,7,193,9.06,10.03,0
6883,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,121,72,7,193,9,10.08,0
6884,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,121,71,7,193,8.82,10.23,0
6885,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,121,71,6,193,8.82,10.23,0
6886,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,120,70,6,193,8.76,10.29,0
6887,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,119,69,6,193,8.71,10.35,0
6888,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,119,68,6,193,8.54,10.5,0
6889,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,118,67,6,193,8.49,10.57,0
6890,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,117,66,6,193,8.44,10.64,0
6891,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,113,65,6,193,8.73,10.43,0
6892,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,112,64,6,193,8.68,10.5,0
6893,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,111,63,6,193,8.63,10.57,0
6894,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,110,62,6,193,8.59,10.65,0
6895,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,109,61,6,193,8.54,10.72,0
6896,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,105,60,6,193,8.8,10.5,0
6897,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,105,59,6,193,8.66,10.68,0
6898,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,104,59,6,193,8.75,10.58,0
6899,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,103,58,6,193,8.71,10.66,0
6900,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,101,57,6,193,8.76,10.63,0
6901,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,97,56,6,193,9,10.39,0
6902,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,97,55,6,193,8.86,10.58,0
6903,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,97,54,6,193,8.73,10.78,0
6904,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,95,53,6,193,8.78,10.75,0
6905,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,91,52,6,193,9,10.5,0
6906,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,90,51,6,193,8.96,10.59,0
6907,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,89,50,6,193,8.91,10.68,0
6908,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,88,49,6,193,8.87,10.78,0
6909,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,87,48,6,193,8.83,10.88,0
6910,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,86,47,6,193,8.79,10.98,0
6911,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,82,46,6,193,9,10.7,0
6912,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,76,45,6,193,9.36,10.13,0
6913,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,70,44,6,193,9.71,9.55,0
6914,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,66,43,6,193,9.9,9.21,0
6915,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,66,42,5,193,9.77,9.43,0
6916,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,66,41,5,193,9.65,9.66,0
6917,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,65,40,5,193,9.6,9.75,0
6918,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,64,39,5,193,9.56,9.85,0
6919,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,63,38,5,193,9.51,9.95,0
6920,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,61,37,5,193,9.54,9.89,0
6921,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,61,36,4,193,9.43,10.17,0
6922,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,60,35,4,193,9.39,10.29,0
6923,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,59,35,4,193,9.46,10.11,0
6924,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,59,34,4,193,9.35,10.41,0
6925,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,59,33,4,193,9.24,10.73,0
6926,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,58,32,4,193,9.2,10.88,0
6927,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,54,31,4,193,9.37,10.45,0
6928,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,50,30,4,193,9.53,10,0
6929,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,50,29,4,193,9.43,10.34,0
6930,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,49,28,4,193,9.39,10.5,0
6931,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,48,27,4,193,9.35,10.67,0
6932,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,44,26,4,193,9.51,10.15,0
6933,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,44,25,3,193,9.41,10.56,0
6934,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,44,24,3,193,9.31,11,0
6935,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,43,23,3,193,9.28,11.22,0
6936,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,39,23,3,193,9.53,10.17,0
6937,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,38,22,3,193,9.49,10.36,0
6938,Sunrisers Hyderabad,Mumbai Indians,Hyderabad,37,21,3,193,9.45,10.57,0
